"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"0kaysarah","of all the things that was thunken, it was not that",21837,685,7794,409,"https://t.co/d07ybLExTx","<U+0001F308>edna mode",2012-03-07 23:25:29,FALSE,FALSE,"0kaysarah","Hammond, America","en","518024872",2,FALSE,"http://pbs.twimg.com/profile_images/1101991679501000706/WS0XOCyj_normal.jpg"
"Surbhi_loveLife1","Senior Manager, IT freak, Mom of two #YehUnDinonKiBaatHai",2789,89,6643,57,NA,"<U+0001D412><U+0001D42E><U+0001D42B><U+0001D41B><U+0001D421><U+0001D422>",2018-04-28 07:40:06,FALSE,FALSE,"Surbhi_loveLife","USA","en","990133539193552898",0,FALSE,"http://pbs.twimg.com/profile_images/1101298901351522311/cJuGVMo5_normal.jpg"
"Leah_Goldstein","Insatiably curious. Come on, Cavs!
Volunteer dog walker for @CityDogsCLE
(Header art: https://t.co/xbT2pDBdHU…)",15014,373,35113,1276,NA,"Leah Goldstein",2012-02-08 17:36:38,FALSE,FALSE,"Leah_Goldstein","Cleveland, OH","en","486795739",25,FALSE,"http://pbs.twimg.com/profile_images/1016160704741761024/ZEgmdJwE_normal.jpg"
"WingedHorizon","ecstatic DM, impatient painter, cutty crafter. #TwitchAffiliate https://t.co/HBacvFDkn6 | https://t.co/DSUeMu6ut2 Join me on discord https://t.co/aXziO1Z4bv",27056,2372,37940,1023,"https://t.co/RyGjW7gi2d","Winged Horizon aka Josh",2011-10-24 22:04:11,FALSE,FALSE,"WingedHorizon","Time is a mortal construct","en","397588902",129,FALSE,"http://pbs.twimg.com/profile_images/1098645805932703744/aQpGceeI_normal.png"
"Change_HC","Change Healthcare is inspiring a better healthcare system. #blockchain #ai #interoperability #clinical #financial #engagement #innovation",23821,30472,1443,659,"https://t.co/uzwkrCC6T9","Change Healthcare",2009-05-04 16:59:42,FALSE,FALSE,"Change_HC","Nashville, TN","en","37701900",518,FALSE,"http://pbs.twimg.com/profile_images/865572611769589764/dHNx0OFm_normal.jpg"
"jet_set_bets","Sassy international flight attendant with expensive taste and a love for London",15548,876,16770,474,"https://t.co/zr9b2KeXFZ","bets",2010-09-15 13:16:51,FALSE,FALSE,"jet_set_bets","DLH/EWR/LHR","en","191035254",32,FALSE,"http://pbs.twimg.com/profile_images/1103763142100873223/PtSpBgth_normal.jpg"
"ET3RN4LHUNT3R","Let's have some FUN!! (Pokemon, SMASH, RPG's, Anime and MORE) || #UnitedFamily for LIFE || #KantoKids || #LaprasLegion || #FaintFam || #PAXSquad ||",3494,202,7043,67,NA,"ET3RNAL",2018-06-23 23:02:30,FALSE,FALSE,"ET3RN4LHUNT3R","Jackson, MI","en","1010659389815050240",0,FALSE,"http://pbs.twimg.com/profile_images/1097726393646047234/BDWFm4AM_normal.png"
"ScotStevejay","USAF SSgt
TUSA...SSDA
Let us have a world of ordinary people...
PeaceMaker",77,91,186,273,NA,"Steve",2019-02-22 14:53:40,FALSE,FALSE,"ScotStevejay","United States","en","1098959010521325568",0,FALSE,"http://pbs.twimg.com/profile_images/1098959920354000903/NLbvos6-_normal.jpg"
"MYKEEMIKE","#TRUELIFE2 <U+0001F34B> Out NOW on all Streaming Sites <U+0001F929>",30548,2224,28389,1715,"https://t.co/eTLaDIJbF9","MYKEE MIKE",2012-05-03 00:32:25,FALSE,FALSE,"MYKEEMIKE","Atlanta, GA","en","569630253",10,FALSE,"http://pbs.twimg.com/profile_images/1098678318306680834/mv4SEGAp_normal.jpg"
"TheTrickyOwl","screams loudly into the void <U+2728> fic writer | aspiring author | currently in EraserMight hell | icon by @microrockets",2951,205,4931,149,"https://t.co/l4Jb1iYrrs","k y l i e <U+0001F33B><U+2728><U+0001F319>",2017-06-05 07:38:57,FALSE,FALSE,"TheTrickyOwl","Toronto, Ontario","en","871632419291615232",1,FALSE,"http://pbs.twimg.com/profile_images/1103027266919919616/sb8nuziE_normal.jpg"
"ThatsWatTsaid","IG: @melanin_montrae <U+0001F937><U+200D><U+2642><U+FE0F>",11553,318,734,425,NA,"48ronin",2011-06-05 20:46:25,FALSE,FALSE,"ThatsWatTsaid","Arlington, VA","en","311660276",2,FALSE,"http://pbs.twimg.com/profile_images/1067786098477334528/j069XBi__normal.jpg"
"DigitalChaos30","I’m a long term digital asset investor, my opinions are my own. Believe in your research and be patient. #BTC #XRP #ETH #BNB #TRX #ADA #VET",573,95,4195,142,NA,"Digital",2018-01-22 21:10:22,FALSE,FALSE,"DigitalChaos30","Massachusetts, USA","en","955548215528574978",2,FALSE,"http://pbs.twimg.com/profile_images/1078487938143535104/U_0lU1dN_normal.jpg"
"RoyalMeryl","siempre en lo mío <U+0001F1E9><U+0001F1F4>",23959,582,9016,309,NA,"MG",2011-02-19 05:29:10,FALSE,FALSE,"RoyalMeryl","Miami, Fl","en","254394480",2,FALSE,"http://pbs.twimg.com/profile_images/1091050089274060801/eakyeMSU_normal.jpg"
"Moonsicle","Living in the Heart of Creation",861,122,408,167,NA,"Blue",2010-09-27 21:00:17,FALSE,FALSE,"Moonsicle","Earth","en","195896339",7,FALSE,"http://pbs.twimg.com/profile_images/1103827237059604482/55s1N2VF_normal.jpg"
"chloesottak","my laugh is funnier than the joke",15332,537,31872,237,NA,"Chloe Sottak <U+0001F61C>",2016-12-30 02:43:16,FALSE,FALSE,"chloesottak","New Hampshire, USA","en","814663110372032512",0,FALSE,"http://pbs.twimg.com/profile_images/1031700701305561088/Yberbyps_normal.jpg"
"Demgirl50","proud to be a Democrat my whole life. I marched in the 60’s and am motivated to do it again. let’s vote blue and get rid of  Trump",204939,3418,270016,3416,NA,"Lowanda Kail",2017-10-28 17:20:55,FALSE,FALSE,"Demgirl50","Minnesota, USA","en","924325113666965504",5,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"diyandkawa","#coffee #naturalliving #diy #nontoxic #beauty #health #wellness #essentialoils #holistic #herbs #beingthechangeiwishtoseeintheworld",3742,226,731,272,"https://t.co/2NURj5LQls","Sara",2017-03-28 13:39:57,FALSE,FALSE,"diyandkawa","Canada","en","846718505185656832",7,FALSE,"http://pbs.twimg.com/profile_images/894953007921602561/qg--r1Ln_normal.jpg"
"ihdezdelso","Assistant Professor at Pitt --Pharmaceutical science to bring the best of the clinical & the economic worlds together. 2019 @Forbes 30 under 30",5352,987,3069,515,NA,"Inmaculada (Inma) Hernández",2012-01-13 20:43:14,FALSE,FALSE,"ihdezdelso","Pittsburgh. From Spain","en","463190035",34,FALSE,"http://pbs.twimg.com/profile_images/1095848044367622145/dW_BFa8-_normal.png"
"WereOverdosing","Married<U+0001F970> 10.12.18",19273,669,1486,1078,NA,"Jessica Barnes",2011-08-12 13:48:27,FALSE,FALSE,"WereOverdosing","Salisbury, MD","en","353686924",1,FALSE,"http://pbs.twimg.com/profile_images/1074679837774790656/80D5PJAT_normal.jpg"
"chopper_imp","All views are my own.. Diehard Imp <U+0001F534><U+26AA> Dad to 2 pretty amazing girls..",1980,296,2455,323,NA,"Matt Harris",2010-03-12 15:12:50,FALSE,FALSE,"chopper_imp","Lincoln","en","122394535",4,FALSE,"http://pbs.twimg.com/profile_images/1021094000764301312/y46STNM5_normal.jpg"
"SGMontanna256","256#<U+0001F608> |S.G.O.N. <U+2620><U+FE0F><U+0001F47A>| 3806|<U+0001F918><U+0001F3FE>",314,27,53,74,NA,"FACE <U+0001F919><U+0001F3FE><U+0001F595><U+0001F3FE><U+0001F934><U+0001F3FE>",2018-12-09 20:38:48,FALSE,FALSE,"SGMontanna256","Huntsville, AL","en","1071866774210142209",0,FALSE,"http://pbs.twimg.com/profile_images/1071868548505591808/Sf3aUte5_normal.jpg"
"WjkoRadio","The Sound of Independents",390297,521,38,92,"https://t.co/EHalkQWgFQ","Dr. Jack Bishop",2016-03-07 21:30:28,FALSE,FALSE,"WjkoRadio","United States","en","706955197650571264",9,FALSE,"http://pbs.twimg.com/profile_images/706955928482885632/KNPFKXlF_normal.jpg"
"Lt_AIR","Logic and Compassion. Vietnam Veteran. Member of #TheResistance. Father. Married 40 years. Tradition. Mentor. Astronomer.",11305,100,7864,80,NA,"Sarek",2016-06-14 09:30:05,FALSE,FALSE,"Lt_AIR","America","en","742650306635276288",0,FALSE,"http://pbs.twimg.com/profile_images/895541811984216064/udNSICId_normal.jpg"
"oliverburkeman","Guardian writer. Tweeting on psychology etc. Out now: THE ANTIDOTE: Happiness for People Who Can't Stand Positive Thinking",509,41273,14817,1812,"http://t.co/aPx4XxrixQ","Oliver Burkeman",2010-02-07 01:57:15,FALSE,TRUE,"oliverburkeman","Brooklyn","en","112037009",1133,FALSE,"http://pbs.twimg.com/profile_images/809803556878483456/wm-6DZST_normal.jpg"
"SeibertLA","Solar-Powered Dayton Native - <U+0001F31E> Sunny-Side Up, loves people, critters <U+0001F355><U+0001F37A> & laughter. Sales at @Dayton_Local ~ the #1 site for #Dayton #Places2Go & #Things2Do",52350,2977,7605,2727,"https://t.co/YxnpSyI1kN","Lisa Seibert",2012-04-09 16:03:55,FALSE,FALSE,"SeibertLA","Dayton, OH, United States","en","549421530",137,FALSE,"http://pbs.twimg.com/profile_images/1096763496283410432/2Y4Z3jWz_normal.png"
"everythingoes99","First time seeing @BTS_twt LIVE in the Rose Bowl May 4! Namjoon's #Mono will heal whatever ails you. #BLM Anti-Trump; #BTS are Korean ARTISTS, not Kpop. #OT7",20476,874,33565,870,NA,"#Mono is a Masterpiece - Rose Bowl May 4th!",2018-02-25 15:23:59,FALSE,FALSE,"everythingoes99","USA","en","967782231879180290",2,FALSE,"http://pbs.twimg.com/profile_images/1096504002064384000/965CbryV_normal.png"
"Prototype_RK800","Connor “Case” RK800#313 248 317-57 | He/Him | Deviant, engaged to @LeoManfredBitch | Snow sucks go away. {NSFW/Dark themes} #dinosforcon | Check out my Ko-fi!",21355,428,864,171,"https://t.co/BCDAKUX9WH","Case",2018-08-02 19:22:35,FALSE,FALSE,"Prototype_RK800","Detroit, MI","en","1025099559901388800",26,FALSE,"http://pbs.twimg.com/profile_images/1087210236253851648/mxdz5UPO_normal.jpg"
"cstaylormakeup","#MUE #MUA #CrueltyFree #Luxury #Makeup #Influencer #Blogger Follow me on Instagram: @courtneytaylormakeup <U+0001F484>",2200,79,458,466,"https://t.co/l3MyVqHsaN","Courtney Taylor",2017-08-05 18:43:48,FALSE,FALSE,"cstaylormakeup","Portland, ME","en","893905391595143169",2,FALSE,"http://pbs.twimg.com/profile_images/1097948470265212929/84PyYClO_normal.jpg"
"ImageMoverMD","Imaging workflow, simplified

#EnterpriseImaging",382,161,63,526,"https://t.co/hNPKQbfIdQ","ImageMoverMD",2015-04-17 23:31:08,FALSE,FALSE,"ImageMoverMD","Madison, WI","en","3161697649",21,FALSE,"http://pbs.twimg.com/profile_images/1012348383086997504/YC8x3NZl_normal.jpg"
"DonnaSmiley","Young-at-heart, cynical optimist who’s crazy about her young dog and elderly cat.",942,144,11766,194,NA,"Donna&Luke",2011-07-03 19:03:55,FALSE,FALSE,"DonnaSmiley","Manhattan, NY","en","328636408",0,FALSE,"http://pbs.twimg.com/profile_images/1061492546986262528/MuyzGzqa_normal.jpg"
"_Celesteh__","A magical ass Chicanx",14171,77,11686,130,NA,"Celeste",2014-03-21 22:56:47,FALSE,FALSE,"_Celesteh__","California, USA","en","2402257988",9,FALSE,"http://pbs.twimg.com/profile_images/1099489046517055488/pqaoOlac_normal.jpg"
"MGHSurgery","News and information from Massachusetts General Hospital's Department of Surgery",904,4081,603,1088,"http://t.co/hJHXmM1ajC","Mass General Surgery",2013-05-30 20:22:40,FALSE,FALSE,"MGHSurgery","Boston, MA","en","1470585896",71,FALSE,"http://pbs.twimg.com/profile_images/473508502954983424/Zbrs7Egu_normal.jpeg"
"HAL_LE_LU_YAH","",35693,314,62989,602,NA,"M.R.",2016-03-24 16:01:53,FALSE,FALSE,"HAL_LE_LU_YAH","United States","en","713033102046601216",6,FALSE,"http://pbs.twimg.com/profile_images/918177195931197441/6yI7XKpM_normal.jpg"
"TheBobbyCastro","",2975,140,60,224,NA,"Bobby",2010-03-07 06:35:18,FALSE,FALSE,"TheBobbyCastro","Baltimore, MD","en","120685156",2,FALSE,"http://pbs.twimg.com/profile_images/859460206681567233/CmtJG9_e_normal.jpg"
"Prototype_RK8001","Connor “Case” RK800#313 248 317-57 | He/Him | Deviant, engaged to @LeoManfredBitch | Snow sucks go away. {NSFW/Dark themes} #dinosforcon | Check out my Ko-fi!",21355,428,864,171,"https://t.co/BCDAKUX9WH","Case",2018-08-02 19:22:35,FALSE,FALSE,"Prototype_RK800","Detroit, MI","en","1025099559901388800",26,FALSE,"http://pbs.twimg.com/profile_images/1087210236253851648/mxdz5UPO_normal.jpg"
"jenna_not_jenny","skinny legend wannabe <U+0001F308>",762,70,7402,146,NA,"Jenna",2018-06-02 18:31:40,FALSE,FALSE,"jenna_not_jenny","Ireland","en","1002981086757113856",0,FALSE,"http://pbs.twimg.com/profile_images/1097999722420363264/PRqBfoIe_normal.jpg"
"musiclover3261","Binghamton '15. UB MSW '18. Buffalo transplant from the #ROC. MFE District Director for EGL1. she/her please",18965,232,27789,218,NA,"Danielle Stoner",2010-01-03 02:39:42,FALSE,FALSE,"musiclover3261","Buffalo, NY","en","101374946",9,FALSE,"http://pbs.twimg.com/profile_images/775377453917364225/2BilVkds_normal.jpg"
"MetaLandscape","Metamorphosis Landscape Design - changing the way you look at landscaping. 631-673-META",3133,782,179,903,"http://t.co/fa9PVPG0iq","Metamorphosis",2010-03-27 21:27:19,FALSE,FALSE,"MetaLandscape","Smithtown, NY","en","127043608",17,FALSE,"http://pbs.twimg.com/profile_images/418906612834000896/9qc5gKzq_normal.jpeg"
"JohnRHopkinsJr","If you already know me, you already know me.  The rest starts now...",6091,246,5985,1369,"https://t.co/mkXKfJK0","Garbage Human",2010-12-15 07:24:20,FALSE,FALSE,"JohnRHopkinsJr","SoCal USA","en","226854313",9,FALSE,"http://pbs.twimg.com/profile_images/1505105325/dancechrisfarley_normal.gif"
"PearlescentGeek","I'm a queer hybrid of my grandparents (Jewish mom x grumpy old man.) I love my wife, my furkids, Wynonna Earp, A:tlA, the ocean & marzipan.",7615,899,32042,1071,NA,"Earper Hospitality aka Jen",2010-06-17 19:12:49,FALSE,FALSE,"PearlescentGeek","South Dakota, USA","en","156731877",4,FALSE,"http://pbs.twimg.com/profile_images/1051679760819081216/c6DIfWjo_normal.jpg"
"mrssarahann","26. wife @warbearfishing. dog mom X 7. professional k9 trainer & handler. dog sports are my life. BA animal behavior. libertarian. on a health journey.",12530,611,22272,457,NA,"Sarah <U+0001F43E>",2017-05-22 21:07:44,FALSE,FALSE,"mrssarahann","Flogrown <U+27A1><U+FE0F> NC","en","866762523223232512",3,FALSE,"http://pbs.twimg.com/profile_images/1102389893140041728/1fa3pkO-_normal.jpg"
"notCrysten","I'm here for the jokes",2549,110,4628,284,NA,"Crysten",2017-11-08 19:28:22,FALSE,FALSE,"notCrysten","Providence, RI","en","928343456623353856",0,FALSE,"http://pbs.twimg.com/profile_images/1083387588784857089/o9ncSqsG_normal.jpg"
"snarkylicious","Raconteur, bon vivante & fluffy thing afficianado. 
The US government, kleptokakistocracy since 1/20/17.
The only supremacy I like is the Bourne one.",133473,1332,272825,260,NA,"Cipher",2009-11-25 03:53:37,FALSE,FALSE,"snarkylicious","Narnia","en","92441303",79,FALSE,"http://pbs.twimg.com/profile_images/1021580349606785024/Gb__af_v_normal.jpg"
"rdspringmill","70+, very opinionated, likes politics, sy fy, books, Rachmaninoff.",3773,51,875,390,NA,"ljewalt",2015-09-01 23:53:54,FALSE,FALSE,"rdspringmill","Ohio, USA","en","3517569557",2,FALSE,"http://pbs.twimg.com/profile_images/640602895407292416/EYVMG1RP_normal.jpg"
"blue_stripz_","",2270,164,124,132,NA,"YKWTFGO",2010-11-02 00:36:49,FALSE,FALSE,"blue_stripz_","Guam","en","210995103",1,FALSE,"http://pbs.twimg.com/profile_images/965379997862060032/MjyM2hCz_normal.jpg"
"Isabellalouisec","NASM CPT",17330,1164,9092,583,"https://t.co/QsCUbSgx1d","bella ~",2011-07-27 02:21:54,FALSE,FALSE,"Isabellalouisec","Little Rock, AR","en","343108649",3,FALSE,"http://pbs.twimg.com/profile_images/1103322596421050368/_gqTeVHH_normal.jpg"
"planetaryemc2","Astro & Planetary grad @CUBoulder working on Martian atmospheric escape. past: @UOregon, IT, theatre.",3032,208,1679,424,"https://t.co/tEe0kXThwN","Eryn M Cangi",2009-06-08 22:21:29,FALSE,FALSE,"planetaryemc2","Boulder, CO","en","45688085",12,FALSE,"http://pbs.twimg.com/profile_images/988606502028984320/j5eLWI-8_normal.jpg"
"big_bad_bert","“I don’t have to be good because I’m cute” -a Bobby Jack tshirt",1142,168,336,206,NA,"Brittani Spigarelli Pt. 2",2018-05-30 16:28:57,FALSE,FALSE,"big_bad_bert","Niagara, WI","en","1001863041145823232",0,FALSE,"http://pbs.twimg.com/profile_images/1098958451663880192/1YdQUivB_normal.jpg"
"megsaura","rookie artist who’s a Pokémon fan and Stans Michael Barnes the lead singer from the underrated band known as red.",31156,323,63090,80,NA,"Megan aura <U+2694><U+FE0F><U+0001F6E1><U+0001F525><U+0001F407>",2017-06-25 08:51:18,FALSE,FALSE,"megsaura","Schaumburg, Illinois","en","878898384492482560",9,FALSE,"http://pbs.twimg.com/profile_images/1100816862663925762/XD11FsPc_normal.jpg"
"AcheEsports","Fortnite Discord: https://t.co/y1n7iCTFCV 
Rainbow 6 Discord: https://t.co/aHkpVpGmoe
Join our communities and catch us on the leaderboards!",54,71,40,29,"https://t.co/JrG5JCwYb6","Ache Esports",2018-12-11 18:24:23,FALSE,FALSE,"AcheEsports","Toronto, Ontario","en","1072557724540551175",0,FALSE,"http://pbs.twimg.com/profile_images/1096452700605009920/cErKNxKu_normal.png"
"ItsIzzyPop","Commited 90’s squad Member. Fat wodge of cake // Cheese and 5SOS lover. Believer of God. Sirius <U+0001F493>Niamh, Lent, Ant, Mol <U+0001F929> Jake <U+2764><U+FE0F>",33136,3911,44954,233,"https://t.co/5hiYKvq17H","Izzy <U+0001F99E>",2014-08-11 08:40:41,FALSE,FALSE,"ItsIzzyPop","Yorkshire","en","2739715173",6,FALSE,"http://pbs.twimg.com/profile_images/1102681449587707905/DHAj31u6_normal.jpg"
"WilcoxHailey99","",23891,3005,22951,4742,NA,"MS.ADAMS",2014-10-16 18:53:00,FALSE,FALSE,"WilcoxHailey99","Texas, USA","en","2858363329",23,FALSE,"http://pbs.twimg.com/profile_images/1099999788815273984/D2MYL5Aq_normal.jpg"
"yung_ache","ache [ ayy-ck ] \ ben bursell, he \ him",1524,338,10610,320,"https://t.co/VFhjgqTQOs","<U+0001D51E><U+0001D520><U+0001D525><U+0001D522>",2010-06-27 02:38:34,FALSE,FALSE,"yung_ache","Boston, MA","en","160058837",1,FALSE,"http://pbs.twimg.com/profile_images/1080019663151685632/LktYcAhT_normal.jpg"
"MattGarvey1981","I write comics, need I say more?! ummmmm, ok...they are great too. previews here https://t.co/dHSHwcvjXq...shop here: https://t.co/C8HFe9Yecb",88663,2915,88222,461,"https://t.co/dHSHwcvjXq","Matt Garvey",2009-08-11 14:40:44,FALSE,FALSE,"MattGarvey1981","Essex","en","64730449",93,FALSE,"http://pbs.twimg.com/profile_images/977842319851511808/NcoCkx96_normal.jpg"
"yung_ache1","ache [ ayy-ck ] \ ben bursell, he \ him",1524,338,10610,320,"https://t.co/VFhjgqTQOs","<U+0001D51E><U+0001D520><U+0001D525><U+0001D522>",2010-06-27 02:38:34,FALSE,FALSE,"yung_ache","Boston, MA","en","160058837",1,FALSE,"http://pbs.twimg.com/profile_images/1080019663151685632/LktYcAhT_normal.jpg"
"latestupdate6","<U+0001F1FA><U+0001F1F8>The USA Constitution & Freedom<U+0001F1FA><U+0001F1F8> & Truth & Free Speech. <U+0001F1FA><U+0001F1F8>Trump <U+0001F1FA><U+0001F1F8>#Trump @Trump #usa #unitedstates #game #Hollywood #celebrities #entertainment #America #news",13294,5946,1058,6150,NA,"WBC News",2017-03-05 06:12:28,FALSE,FALSE,"latestupdate6","United States","en","838270968523010048",2,FALSE,"http://pbs.twimg.com/profile_images/1043202665612816385/d-zTwP6u_normal.jpg"
"deepin19","Don't let your past weigh you down.. move forward; love life<U+263A><U+FE0F>",650,29,139,84,NA,"denise Wright",2009-07-08 15:41:39,FALSE,FALSE,"deepin19","upstate NY","en","54931867",1,FALSE,"http://pbs.twimg.com/profile_images/1022484234324168705/9xXHbfU5_normal.jpg"
"Maiyunbby","Gamer, Graphic designer, Otaku, & Mother of 2 ferrets plus a little hoomin girl! Buy me a soda? https://t.co/YikqvVe7xF Icon by: @twirlyful",11847,239,46294,218,"https://t.co/TEqnEgIwWj","Maiyunbby",2013-06-02 05:56:34,FALSE,FALSE,"Maiyunbby","Massachusetts, USA","en","1476511424",10,FALSE,"http://pbs.twimg.com/profile_images/1095129313656127488/1o-XtmdJ_normal.jpg"
"yung_ache2","ache [ ayy-ck ] \ ben bursell, he \ him",1524,338,10610,320,"https://t.co/VFhjgqTQOs","<U+0001D51E><U+0001D520><U+0001D525><U+0001D522>",2010-06-27 02:38:34,FALSE,FALSE,"yung_ache","Boston, MA","en","160058837",1,FALSE,"http://pbs.twimg.com/profile_images/1080019663151685632/LktYcAhT_normal.jpg"
"IanRobertArnold","He/His
https://t.co/oO57YPhRGa",2219,124,5327,474,NA,"Ian from Free Food",2012-08-03 23:21:07,FALSE,FALSE,"IanRobertArnold","Clarkston Michigan","en","735709273",1,FALSE,"http://pbs.twimg.com/profile_images/1100862994517356544/UkkvGtlj_normal.jpg"
"KathleenBelmon7","single over 60 woman, content, lover of Our Lord and of my country, The United States of America. proud conservative not RINO. three adult kids, two grandkids.",15557,360,11461,225,NA,"kathleen belmonte",2017-03-04 18:16:17,FALSE,FALSE,"KathleenBelmon7","California, USA","en","838090737036111872",4,FALSE,"http://pbs.twimg.com/profile_images/1057691955839168514/aLeGHFkl_normal.jpg"
"sangbrulane","",12014,57,6140,842,NA,"laneo broucard",2011-03-16 04:13:48,FALSE,FALSE,"sangbrulane","Dracut, MA","en","266986605",3,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"JoeyNJade","I'm a dad. I like video games, drifting, martial arts, parkour, hiking/camping and prepping. <U+0001F918><U+0001F61B><U+0001F918>",24411,1307,46906,159,NA,"Joey Kerr <U+0001F918><U+0001F596>",2017-01-19 04:07:01,FALSE,FALSE,"JoeyNJade","Bloomington, IN","en","821931945525465088",4,FALSE,"http://pbs.twimg.com/profile_images/1006659686576349184/zbys_yoC_normal.jpg"
"SheridianTiff","Dunbar Alumni '13 RIP Daddy 9/13/1964-3/9/2015",9398,522,428,382,"https://t.co/nTCnvx9oVt","Sheridian Tiffany<U+0001F4F8><U+2728>",2011-04-23 02:14:42,FALSE,FALSE,"SheridianTiff","Baltimore, MD","en","286467894",2,FALSE,"http://pbs.twimg.com/profile_images/996755683419836416/SqxPS06Q_normal.jpg"
"kulipeter","soundcloud nice boy | profile by @elenafortunee | he/him",3529,633,6475,561,"https://t.co/2xsabe2MDC","peter",2015-01-09 20:40:27,FALSE,FALSE,"kulipeter","Boston, MA","en","2970370649",2,FALSE,"http://pbs.twimg.com/profile_images/1093610805445251072/6pU0ctkX_normal.jpg"
"yung_ache3","ache [ ayy-ck ] \ ben bursell, he \ him",1524,338,10610,320,"https://t.co/VFhjgqTQOs","<U+0001D51E><U+0001D520><U+0001D525><U+0001D522>",2010-06-27 02:38:34,FALSE,FALSE,"yung_ache","Boston, MA","en","160058837",1,FALSE,"http://pbs.twimg.com/profile_images/1080019663151685632/LktYcAhT_normal.jpg"
